OGLE-GD-CEP-0100	F	4.1756238	0.512	0.433	4.618	0.208	2.969
OGLE-GD-CEP-0101	12	0.8247218	0.290	0.229	3.979	0.091	2.058
OGLE-GD-CEP-0102	F	4.9604526	0.317	0.346	4.833	0.102	3.542
OGLE-GD-CEP-0103	1	0.9978494	0.180	0.177	3.850	0.063	1.288
OGLE-GD-CEP-0104	1	2.1777268	0.199	0.126	4.651	0.058	3.123
OGLE-GD-CEP-0105	1	2.2526253	0.182	0.090	5.119	0.017	3.346
OGLE-GD-CEP-0106	12	0.2897631	0.226	0.105	2.763	0.077	5.913
OGLE-GD-CEP-0107	1	2.5035573	0.229	0.113	4.607	0.000	-99.99
OGLE-GD-CEP-0108	F	3.2348230	0.580	0.460	4.522	0.276	2.809
OGLE-GD-CEP-0109	F	2.3679476	0.617	0.497	4.371	0.293	2.633
OGLE-GD-CEP-0110	F	3.5443336	0.597	0.466	4.573	0.264	2.964
OGLE-GD-CEP-0111	F	3.9181306	0.441	0.425	4.680	0.204	3.085
OGLE-GD-CEP-0112	F	3.1734247	0.555	0.456	4.502	0.261	2.769
OGLE-GD-CEP-0113	F	4.0398583	0.536	0.468	4.716	0.252	3.204
OGLE-GD-CEP-0114	F	2.1479831	0.535	0.439	4.368	0.270	2.601
OGLE-GD-CEP-0115	F	2.9307378	0.328	0.375	4.542	0.174	2.810
OGLE-GD-CEP-0116	F1	1.7527392	0.374	0.262	4.258	0.093	2.163
OGLE-GD-CEP-0117	F1	2.8708753	0.333	0.311	4.285	0.100	2.525
OGLE-GD-CEP-0118	1	1.8338128	0.275	0.179	4.533	0.040	3.382
OGLE-GD-CEP-0119	1	2.7858501	0.213	0.037	5.664	0.038	4.385
OGLE-GD-CEP-0120	F	7.9595167	0.518	0.283	5.189	0.228	3.651
OGLE-GD-CEP-0121	1	1.4415973	0.232	0.218	4.498	0.020	2.515
OGLE-GD-CEP-0122	F	4.1709258	0.285	0.302	4.611	0.108	3.167
OGLE-GD-CEP-0123	F	1.3992865	0.571	0.472	4.281	0.303	2.263
OGLE-GD-CEP-0124	F	2.8976803	0.720	0.491	4.394	0.298	2.473
OGLE-GD-CEP-0125	F	3.3905071	0.608	0.421	4.373	0.219	2.408
OGLE-GD-CEP-0126	1	3.2731560	0.195	0.077	3.488	0.030	0.325
OGLE-GD-CEP-0127	F	13.7677045	0.424	0.142	4.822	0.115	2.188
OGLE-GD-CEP-0128	1	1.7152609	0.317	0.208	4.457	0.062	2.924
OGLE-GD-CEP-0129	F	2.9692043	0.691	0.520	4.456	0.318	2.701
OGLE-GD-CEP-0130	1	0.9831663	0.174	0.165	3.880	0.048	1.264
OGLE-GD-CEP-0131	F	7.0342049	0.317	0.338	5.398	0.073	3.942
OGLE-GD-CEP-0132	F	5.8635029	0.578	0.446	4.762	0.219	3.208
